Store_ID,Product_ID,Stock_On_Hand
1,1,27
1,2,0
1,3,32
1,4,6
1,5,0
1,6,79
1,7,5
1,8,63
1,9,12
1,10,22
1,11,19
1,12,3
1,13,12
1,14,3
1,15,2
1,16,8
1,17,7
1,18,11
1,19,25
1,20,11
1,21,21
1,22,2
1,23,1
1,24,9
1,25,54
1,26,13
1,27,33
1,28,10
1,29,4
1,30,44
1,31,7
1,32,4
1,33,2
1,34,0
1,35,12
2,1,0
2,2,6
2,3,18
2,6,6
2,7,14
2,8,76
2,9,0
2,10,10
2,11,0
2,12,2
2,13,3
2,14,21
2,15,20
2,17,12
2,18,38
2,19,35
2,21,20
2,23,8
2,24,39
2,25,32
2,26,12
2,27,30
2,28,2
2,29,5
2,30,50
2,31,18
2,32,10
2,33,11
2,34,18
3,1,17
3,2,8
3,3,35
3,6,21
3,7,8
3,8,44
3,9,4
3,10,54
3,11,13
3,12,4
3,13,8
3,14,4
3,15,0
3,17,1
3,18,52
3,19,33
3,21,3
3,23,13
3,24,15
3,25,44
3,26,13
3,27,23
3,28,10
3,29,0
3,30,43
3,31,29
3,32,4
3,33,4
3,34,7
4,1,2
4,2,18
4,3,6
4,4,2
4,5,14
4,6,44
4,7,9
4,8,15
4,9,27
4,10,8
4,11,3
4,12,7
4,13,4
4,14,4
4,15,9
4,16,8
4,17,2
4,18,17
4,19,2
4,20,13
4,21,24
4,22,5
4,23,26
4,24,20
4,25,18
4,26,10
4,27,19
4,28,6
4,29,20
4,30,28
4,31,35
4,32,6
4,33,2
4,34,0
4,35,4
5,1,8
5,2,14
5,3,3
5,6,12
5,7,30
5,8,27
5,9,31
5,10,39
5,11,0
5,12,0
5,13,17
5,14,14
5,15,0
5,17,7
5,18,9
5,19,18
5,21,0
5,23,11
5,24,60
5,25,9
5,26,4
5,27,45
5,28,0
5,29,8
5,30,39
5,31,31
5,32,10
5,33,17
5,34,10
6,1,0
6,2,47
6,3,20
6,4,14
6,5,8
6,6,32
6,7,18
6,8,50
6,9,3
6,10,52
6,11,20
6,12,2
6,13,2
6,14,11
6,15,11
6,16,10
6,17,22
6,18,11
6,19,39
6,20,9
6,21,36
6,22,5
6,23,15
6,24,15
6,25,62
6,26,7
6,27,37
6,28,2
6,29,10
6,30,67
6,31,17
6,32,7
6,33,7
6,34,8
6,35,3
7,1,14
7,2,7
7,3,10
7,4,17
7,5,19
7,6,10
7,7,1
7,8,46
7,9,0
7,10,36
7,11,7
7,12,38
7,13,20
7,14,3
7,15,3
7,16,6
7,17,4
7,18,31
7,19,24
7,20,7
7,21,49
7,22,8
7,23,9
7,24,25
7,25,10
7,26,16
7,27,48
7,28,0
7,29,8
7,30,27
7,31,15
7,32,3
7,33,18
7,34,2
7,35,17
8,1,10
8,2,11
8,3,8
8,4,18
8,5,10
8,6,12
8,7,8
8,8,42
8,9,0
8,10,54
8,11,8
8,12,4
8,13,0
8,14,0
8,15,0
8,16,8
8,17,5
8,18,18
8,19,11
8,20,5
8,21,37
8,22,13
8,23,8
8,24,7
8,25,71
8,26,20
8,27,47
8,28,20
8,29,3
8,30,13
8,31,27
8,32,7
8,33,17
8,34,18
8,35,8
9,1,15
9,2,18
9,3,10
9,4,6
9,5,3
9,6,55
9,7,22
9,8,29
9,9,50
9,10,69
9,11,1
9,12,6
9,13,19
9,14,11
9,15,9
9,16,5
9,17,8
9,18,8
9,19,54
9,20,4
9,21,12
9,22,9
9,23,31
9,24,16
9,25,4
9,26,21
9,27,29
9,28,9
9,29,8
9,30,11
9,31,6
9,32,3
9,33,9
9,34,5
9,35,4
10,1,5
10,2,17
10,3,15
